Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;15;94;15;79;0;1;0,159574468085106;0,275229357798165;2023-05-02T00:00:10Z
person;15;87;15;72;0;1;0,172413793103448;0,294117647058824;2023-05-02T00:00:20Z
person;15;87;15;72;0;1;0,172413793103448;0,294117647058824;2023-05-02T00:00:30Z
person;15;82;15;67;0;1;0,182926829268293;0,309278350515464;2023-05-02T00:00:50Z
person;15;82;15;67;0;1;0,182926829268293;0,309278350515464;2023-05-02T00:01:00Z
person;15;82;15;67;0;1;0,182926829268293;0,309278350515464;2023-05-02T00:01:30Z
person;15;81;15;66;0;1;0,185185185185185;0,312500000000000;2023-05-02T00:01:40Z
person;15;81;15;66;0;1;0,185185185185185;0,312500000000000;2023-05-02T00:02:30Z
person;15;81;15;66;0;1;0,185185185185185;0,312500000000000;2023-05-02T00:03:00Z
person;15;81;15;66;0;1;0,185185185185185;0,312500000000000;2023-05-02T00:05:00Z
person;15;81;15;66;0;1;0,185185185185185;0,312500000000000;2023-05-02T00:07:30Z
person;15;81;15;66;0;1;0,185185185185185;0,312500000000000;2023-05-02T00:15:00Z
