Class;gt;eval;rp;fp;fn;S;G;F1;t_int
bicycle;92;64;60;4;32;0,652173913043478;0,937500;0,769230769230769;2023-05-02T00:00:10Z
bicycle;92;64;62;2;30;0,673913043478261;0,968750;0,794871794871795;2023-05-02T00:00:20Z
bicycle;92;64;63;1;29;0,684782608695652;0,984375;0,807692307692308;2023-05-02T00:00:30Z
bicycle;92;64;63;1;29;0,684782608695652;0,984375;0,807692307692308;2023-05-02T00:00:50Z
bicycle;92;64;64;0;28;0,695652173913043;1,000000;0,820512820512820;2023-05-02T00:01:00Z
bicycle;92;64;64;0;28;0,695652173913043;1,000000;0,820512820512820;2023-05-02T00:01:30Z
bicycle;92;64;64;0;28;0,695652173913043;1,000000;0,820512820512820;2023-05-02T00:01:40Z
bicycle;92;64;64;0;28;0,695652173913043;1,000000;0,820512820512820;2023-05-02T00:02:30Z
bicycle;92;64;64;0;28;0,695652173913043;1,000000;0,820512820512820;2023-05-02T00:03:00Z
bicycle;92;64;64;0;28;0,695652173913043;1,000000;0,820512820512820;2023-05-02T00:05:00Z
bicycle;92;64;64;0;28;0,695652173913043;1,000000;0,820512820512820;2023-05-02T00:07:30Z
bicycle;92;64;64;0;28;0,695652173913043;1,000000;0,820512820512820;2023-05-02T00:15:00Z
