Class;gt;eval;rp;fp;fn;S;G;F1;t_int
car;0;2;0;2;0;NA;0;NA;2023-05-02T00:00:10Z
car;0;2;0;2;0;NA;0;NA;2023-05-02T00:00:20Z
car;0;2;0;2;0;NA;0;NA;2023-05-02T00:00:30Z
car;0;2;0;2;0;NA;0;NA;2023-05-02T00:00:50Z
car;0;2;0;2;0;NA;0;NA;2023-05-02T00:01:00Z
car;0;2;0;2;0;NA;0;NA;2023-05-02T00:01:30Z
car;0;2;0;2;0;NA;0;NA;2023-05-02T00:01:40Z
car;0;2;0;2;0;NA;0;NA;2023-05-02T00:02:30Z
car;0;2;0;2;0;NA;0;NA;2023-05-02T00:03:00Z
car;0;2;0;2;0;NA;0;NA;2023-05-02T00:05:00Z
car;0;2;0;2;0;NA;0;NA;2023-05-02T00:07:30Z
car;0;2;0;2;0;NA;0;NA;2023-05-02T00:15:00Z
