Class;gt;eval;rp;fp;fn;S;G;F1;t_int
bicycle;70;65;61;4;9;0,871428571428571;0,938461538461538;0,903703703703704;2023-05-02T00:00:10Z
bicycle;70;65;61;4;9;0,871428571428571;0,938461538461538;0,903703703703704;2023-05-02T00:00:20Z
bicycle;70;65;62;3;8;0,885714285714286;0,953846153846154;0,918518518518519;2023-05-02T00:00:30Z
bicycle;70;65;63;2;7;0,900000000000000;0,969230769230769;0,933333333333333;2023-05-02T00:00:50Z
bicycle;70;65;62;3;8;0,885714285714286;0,953846153846154;0,918518518518519;2023-05-02T00:01:00Z
bicycle;70;65;63;2;7;0,900000000000000;0,969230769230769;0,933333333333333;2023-05-02T00:01:30Z
bicycle;70;65;63;2;7;0,900000000000000;0,969230769230769;0,933333333333333;2023-05-02T00:01:40Z
bicycle;70;65;64;1;6;0,914285714285714;0,984615384615385;0,948148148148148;2023-05-02T00:03:00Z
bicycle;70;65;64;1;6;0,914285714285714;0,984615384615385;0,948148148148148;2023-05-02T00:05:00Z
bicycle;70;65;65;0;5;0,928571428571429;1,000000000000000;0,962962962962963;2023-05-02T00:07:30Z
bicycle;70;65;65;0;5;0,928571428571429;1,000000000000000;0,962962962962963;2023-05-02T00:15:00Z
