Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;23;29;20;21;15;0,571428571428571;0,487804878048780;0,526315789473684;2023-05-02T00:00:10Z
person;23;27;20;16;12;0,625000000000000;0,555555555555556;0,588235294117647;2023-05-02T00:00:20Z
person;23;25;20;14;12;0,625000000000000;0,588235294117647;0,606060606060606;2023-05-02T00:00:30Z
person;23;24;18;10;9;0,666666666666667;0,642857142857143;0,654545454545455;2023-05-02T00:00:50Z
person;23;23;17;12;12;0,586206896551724;0,586206896551724;0,586206896551724;2023-05-02T00:01:00Z
person;23;23;20;7;7;0,740740740740741;0,740740740740741;0,740740740740741;2023-05-02T00:01:30Z
person;23;23;19;5;5;0,791666666666667;0,791666666666667;0,791666666666667;2023-05-02T00:01:40Z
person;23;23;20;5;5;0,800000000000000;0,800000000000000;0,800000000000000;2023-05-02T00:03:00Z
person;23;23;22;1;1;0,956521739130435;0,956521739130435;0,956521739130435;2023-05-02T00:05:00Z
person;23;23;22;1;1;0,956521739130435;0,956521739130435;0,956521739130435;2023-05-02T00:07:30Z
person;23;23;23;0;0;1,000000000000000;1,000000000000000;1,000000000000000;2023-05-02T00:15:00Z
