;Class;gt;eval;t_start;t_end
0;person;8.0;6.0;18:45:00;18:46:00
1;bicycle;3.0;1.0;18:45:00;18:46:00
2;person;4.0;1.0;18:46:00;18:47:00
3;person;15.0;14.0;18:47:00;18:48:00
4;bicycle;1.0;0.0;18:47:00;18:48:00
5;person;21.0;18.0;18:48:00;18:49:00
6;person;15.0;11.0;18:49:00;18:50:00
7;bicycle;1.0;0.0;18:49:00;18:50:00
8;person;6.0;4.0;18:50:00;18:51:00
9;person;16.0;14.0;18:51:00;18:52:00
10;person;8.0;8.0;18:52:00;18:53:00
11;person;9.0;2.0;18:53:00;18:54:00
12;person;13.0;8.0;18:54:00;18:55:00
13;bicycle;1.0;0.0;18:54:00;18:55:00
14;person;7.0;5.0;18:55:00;18:56:00
15;person;10.0;8.0;18:56:00;18:57:00
16;person;15.0;11.0;18:57:00;18:58:00
17;person;10.0;9.0;18:58:00;18:59:00
18;person;17.0;15.0;18:59:00;19:00:00
19;car;0.0;1.0;18:59:00;19:00:00
