;Class;gt;eval;t_start;t_end
0;bicycle;4.0;4.0;08:15:00;08:16:00
1;person;0.0;3.0;08:15:00;08:16:00
2;bicycle;9.0;3.0;08:16:00;08:17:00
3;truck;1.0;0.0;08:16:00;08:17:00
4;person;0.0;5.0;08:16:00;08:17:00
5;person;2.0;2.0;08:17:00;08:18:00
6;bicycle;1.0;1.0;08:17:00;08:18:00
7;car;0.0;1.0;08:17:00;08:18:00
8;bicycle;3.0;3.0;08:18:00;08:19:00
9;person;0.0;2.0;08:18:00;08:19:00
10;bicycle;7.0;4.0;08:19:00;08:20:00
11;person;0.0;6.0;08:19:00;08:20:00
12;bicycle;8.0;4.0;08:20:00;08:21:00
13;person;1.0;7.0;08:20:00;08:21:00
14;bicycle;5.0;3.0;08:21:00;08:22:00
15;person;0.0;5.0;08:21:00;08:22:00
16;bicycle;10.0;7.0;08:22:00;08:23:00
17;person;0.0;8.0;08:22:00;08:23:00
18;bicycle;7.0;6.0;08:23:00;08:24:00
19;person;0.0;6.0;08:23:00;08:24:00
20;bicycle;5.0;2.0;08:24:00;08:25:00
21;person;0.0;3.0;08:24:00;08:25:00
22;bicycle;10.0;7.0;08:25:00;08:26:00
23;person;1.0;7.0;08:25:00;08:26:00
24;bicycle;4.0;3.0;08:26:00;08:27:00
25;person;1.0;5.0;08:26:00;08:27:00
26;bicycle;1.0;1.0;08:27:00;08:28:00
27;person;0.0;1.0;08:27:00;08:28:00
28;bicycle;11.0;9.0;08:28:00;08:29:00
29;person;1.0;11.0;08:28:00;08:29:00
30;car;0.0;1.0;08:28:00;08:29:00
31;bicycle;7.0;7.0;08:29:00;08:30:00
32;person;3.0;11.0;08:29:00;08:30:00
