;Class;gt;eval;t_start;t_end
0;person;12.0;12.0;13:15:00;13:16:00
1;motorcycle;1.0;0.0;13:15:00;13:16:00
2;person;7.0;7.0;13:16:00;13:17:00
3;motorcycle;0.0;1.0;13:16:00;13:17:00
4;person;15.0;15.0;13:17:00;13:18:00
5;person;6.0;6.0;13:18:00;13:19:00
6;person;2.0;2.0;13:19:00;13:20:00
7;person;6.0;5.0;13:20:00;13:21:00
8;person;6.0;6.0;13:21:00;13:22:00
9;person;8.0;8.0;13:22:00;13:23:00
10;person;5.0;5.0;13:23:00;13:24:00
11;person;10.0;10.0;13:24:00;13:25:00
12;motorcycle;1.0;0.0;13:24:00;13:25:00
13;bicycle;1.0;2.0;13:24:00;13:25:00
14;person;5.0;5.0;13:25:00;13:26:00
15;person;10.0;10.0;13:27:00;13:28:00
16;person;7.0;7.0;13:28:00;13:29:00
17;bicycle;1.0;1.0;13:28:00;13:29:00
18;person;6.0;9.0;13:29:00;13:30:00
