;Class;gt;eval;t_start;t_end
0;person;9.0;5.0;13:15:00;13:16:00
1;car;3.0;1.0;13:15:00;13:16:00
2;bicycle;1.0;1.0;13:15:00;13:16:00
3;car;14.0;14.0;13:16:00;13:17:00
4;person;9.0;8.0;13:16:00;13:17:00
5;motorcycle;2.0;2.0;13:16:00;13:17:00
6;truck;1.0;1.0;13:16:00;13:17:00
7;bus;1.0;1.0;13:16:00;13:17:00
8;car;11.0;11.0;13:17:00;13:18:00
9;person;7.0;9.0;13:17:00;13:18:00
10;car;12.0;12.0;13:18:00;13:19:00
11;person;5.0;6.0;13:18:00;13:19:00
12;car;21.0;21.0;13:19:00;13:20:00
13;person;3.0;3.0;13:19:00;13:20:00
14;bicycle;3.0;3.0;13:19:00;13:20:00
15;car;17.0;16.0;13:20:00;13:21:00
16;person;10.0;11.0;13:20:00;13:21:00
17;bus;1.0;1.0;13:20:00;13:21:00
18;person;4.0;4.0;13:21:00;13:22:00
19;car;2.0;7.0;13:21:00;13:22:00
20;bicycle;0.0;1.0;13:21:00;13:22:00
21;car;7.0;7.0;13:22:00;13:23:00
22;person;5.0;9.0;13:22:00;13:23:00
23;bicycle;1.0;1.0;13:22:00;13:23:00
24;car;21.0;22.0;13:23:00;13:24:00
25;person;2.0;2.0;13:23:00;13:24:00
26;truck;1.0;0.0;13:23:00;13:24:00
27;bicycle;1.0;1.0;13:23:00;13:24:00
28;person;11.0;11.0;13:24:00;13:25:00
29;car;9.0;10.0;13:24:00;13:25:00
30;motorcycle;1.0;1.0;13:24:00;13:25:00
31;bus;1.0;1.0;13:24:00;13:25:00
32;car;17.0;17.0;13:25:00;13:26:00
33;person;5.0;7.0;13:25:00;13:26:00
34;bus;1.0;1.0;13:25:00;13:26:00
35;bicycle;1.0;1.0;13:25:00;13:26:00
36;car;15.0;14.0;13:26:00;13:27:00
37;person;6.0;6.0;13:26:00;13:27:00
38;bicycle;3.0;3.0;13:26:00;13:27:00
39;motorcycle;1.0;1.0;13:26:00;13:27:00
40;truck;1.0;1.0;13:26:00;13:27:00
41;bus;1.0;1.0;13:26:00;13:27:00
42;car;14.0;13.0;13:27:00;13:28:00
43;person;13.0;14.0;13:27:00;13:28:00
44;bus;3.0;3.0;13:27:00;13:28:00
45;person;9.0;10.0;13:28:00;13:29:00
46;car;8.0;8.0;13:28:00;13:29:00
47;bus;1.0;1.0;13:28:00;13:29:00
48;car;19.0;20.0;13:29:00;13:30:00
49;person;7.0;7.0;13:29:00;13:30:00
50;truck;2.0;0.0;13:29:00;13:30:00
