;Class;gt;eval;t_start;t_end
0;car;13;13;18:45:00;18:46:00
1;motorcycle;2;2;18:45:00;18:46:00
2;person;1;1;18:45:00;18:46:00
3;car;8;8;18:46:00;18:47:00
4;person;1;1;18:46:00;18:47:00
5;car;14;14;18:47:00;18:48:00
6;person;4;5;18:47:00;18:48:00
7;motorcycle;1;1;18:47:00;18:48:00
8;bus;1;1;18:47:00;18:48:00
9;car;11;10;18:48:00;18:49:00
10;person;7;9;18:48:00;18:49:00
11;car;14;15;18:49:00;18:50:00
12;person;9;10;18:49:00;18:50:00
13;motorcycle;1;1;18:49:00;18:50:00
14;bus;1;1;18:49:00;18:50:00
15;car;11;16;18:50:00;18:51:00
16;person;2;2;18:50:00;18:51:00
17;car;10;11;18:51:00;18:52:00
18;person;4;4;18:51:00;18:52:00
19;car;12;12;18:52:00;18:53:00
20;person;6;8;18:52:00;18:53:00
21;bus;1;1;18:52:00;18:53:00
22;bicycle;1;1;18:52:00;18:53:00
23;car;17;17;18:53:00;18:54:00
24;bus;1;1;18:53:00;18:54:00
25;person;1;3;18:53:00;18:54:00
26;person;15;15;18:54:00;18:55:00
27;car;6;6;18:54:00;18:55:00
28;car;12;12;18:55:00;18:56:00
29;bus;1;1;18:55:00;18:56:00
30;bicycle;1;1;18:55:00;18:56:00
31;car;9;9;18:56:00;18:57:00
32;person;7;7;18:56:00;18:57:00
33;bus;1;1;18:56:00;18:57:00
34;car;17;17;18:57:00;18:58:00
35;person;3;4;18:57:00;18:58:00
36;bus;1;1;18:57:00;18:58:00
37;bicycle;1;1;18:57:00;18:58:00
38;car;2;2;18:58:00;18:59:00
39;person;2;2;18:58:00;18:59:00
40;car;13;13;18:59:00;19:00:00
41;person;10;10;18:59:00;19:00:00
42;bicycle;1;1;18:59:00;19:00:00
43;bus;1;1;18:59:00;19:00:00
