;Class;gt;eval;t_start;t_end
0;car;30.0;30.0;18:30:00;18:32:30
1;person;8.0;11.0;18:30:00;18:32:30
2;bicycle;2.0;0.0;18:30:00;18:32:30
3;car;20.0;19.0;18:32:30;18:35:00
4;person;10.0;16.0;18:32:30;18:35:00
5;bus;2.0;0.0;18:32:30;18:35:00
6;bicycle;1.0;0.0;18:32:30;18:35:00
7;car;27.0;28.0;18:35:00;18:37:30
8;person;13.0;16.0;18:35:00;18:37:30
9;bicycle;2.0;0.0;18:35:00;18:37:30
10;truck;1.0;1.0;18:35:00;18:37:30
11;motorcycle;1.0;0.0;18:35:00;18:37:30
12;bus;1.0;0.0;18:35:00;18:37:30
13;car;36.0;35.0;18:37:30;18:40:00
14;person;5.0;4.0;18:37:30;18:40:00
15;truck;2.0;0.0;18:37:30;18:40:00
16;motorcycle;1.0;1.0;18:37:30;18:40:00
17;bicycle;1.0;0.0;18:37:30;18:40:00
18;car;20.0;20.0;18:40:00;18:42:30
19;person;15.0;14.0;18:40:00;18:42:30
20;bus;2.0;2.0;18:40:00;18:42:30
21;bicycle;1.0;0.0;18:40:00;18:42:30
22;truck;0.0;1.0;18:40:00;18:42:30
23;car;23.0;23.0;18:42:30;18:45:00
24;person;16.0;16.0;18:42:30;18:45:00
25;bicycle;1.0;0.0;18:42:30;18:45:00
26;bus;1.0;1.0;18:42:30;18:45:00
