;Class;gt;eval;t_start;t_end
0;car;34.0;35.0;18:45:00;18:47:30
1;motorcycle;3.0;1.0;18:45:00;18:47:30
2;person;3.0;3.0;18:45:00;18:47:30
3;car;26.0;26.0;18:47:30;18:50:00
4;person;19.0;16.0;18:47:30;18:50:00
5;bus;2.0;2.0;18:47:30;18:50:00
6;motorcycle;1.0;1.0;18:47:30;18:50:00
7;car;35.0;37.0;18:50:00;18:52:30
8;person;9.0;7.0;18:50:00;18:52:30
9;bus;1.0;1.0;18:50:00;18:52:30
10;car;27.0;28.0;18:52:30;18:55:00
11;person;19.0;13.0;18:52:30;18:55:00
12;bicycle;1.0;1.0;18:52:30;18:55:00
13;bus;1.0;1.0;18:52:30;18:55:00
14;car;22.0;22.0;18:55:00;18:57:30
15;person;7.0;7.0;18:55:00;18:57:30
16;bus;3.0;3.0;18:55:00;18:57:30
17;bicycle;2.0;0.0;18:55:00;18:57:30
18;car;31.0;30.0;18:57:30;19:00:00
19;person;15.0;7.0;18:57:30;19:00:00
20;bicycle;1.0;0.0;18:57:30;19:00:00
21;bus;1.0;1.0;18:57:30;19:00:00
22;motorcycle;0.0;1.0;18:57:30;19:00:00
