;Class;gt;eval;t_start;t_end
0;bicycle;12.0;9.0;08:15:00;08:17:30
1;person;2.0;3.0;08:15:00;08:17:30
2;truck;1.0;0.0;08:15:00;08:17:30
3;car;0.0;1.0;08:15:00;08:17:30
4;bicycle;12.0;11.0;08:17:30;08:20:00
5;person;1.0;3.0;08:17:30;08:20:00
6;bicycle;20.0;20.0;08:20:00;08:22:30
7;person;1.0;0.0;08:20:00;08:22:30
8;motorcycle;0.0;3.0;08:20:00;08:22:30
9;bicycle;13.0;9.0;08:22:30;08:25:00
10;person;0.0;3.0;08:22:30;08:25:00
11;bicycle;14.0;14.0;08:25:00;08:27:30
12;person;2.0;2.0;08:25:00;08:27:30
13;bicycle;18.0;16.0;08:27:30;08:30:00
14;person;4.0;7.0;08:27:30;08:30:00
15;car;0.0;1.0;08:27:30;08:30:00
