;Class;gt;eval;t_start;t_end
0;person;61.0;60.0;13:15:00;13:17:30
1;bicycle;1.0;3.0;13:15:00;13:17:30
2;person;24.0;37.0;13:17:30;13:20:00
3;bicycle;3.0;4.0;13:17:30;13:20:00
4;person;26.0;30.0;13:20:00;13:22:30
5;bicycle;0.0;2.0;13:20:00;13:22:30
6;person;32.0;41.0;13:22:30;13:25:00
7;motorcycle;1.0;0.0;13:22:30;13:25:00
8;bicycle;0.0;1.0;13:22:30;13:25:00
9;person;39.0;44.0;13:25:00;13:27:30
10;bicycle;3.0;3.0;13:25:00;13:27:30
11;person;32.0;37.0;13:27:30;13:30:00
12;bicycle;1.0;1.0;13:27:30;13:30:00
