;Class;gt;eval;t_start;t_end
0;car;34;34;18:45:00;18:47:30
1;motorcycle;3;3;18:45:00;18:47:30
2;person;3;3;18:45:00;18:47:30
3;car;26;26;18:47:30;18:50:00
4;person;19;19;18:47:30;18:50:00
5;bus;2;2;18:47:30;18:50:00
6;motorcycle;1;1;18:47:30;18:50:00
7;car;29;35;18:50:00;18:52:30
8;person;9;9;18:50:00;18:52:30
9;bus;1;1;18:50:00;18:52:30
10;car;27;27;18:52:30;18:55:00
11;person;19;19;18:52:30;18:55:00
12;bicycle;1;1;18:52:30;18:55:00
13;bus;1;1;18:52:30;18:55:00
14;car;22;22;18:55:00;18:57:30
15;person;7;7;18:55:00;18:57:30
16;bus;3;3;18:55:00;18:57:30
17;bicycle;2;2;18:55:00;18:57:30
18;car;31;31;18:57:30;19:00:00
19;person;15;15;18:57:30;19:00:00
20;bicycle;1;1;18:57:30;19:00:00
21;bus;1;1;18:57:30;19:00:00
