;Class;gt;eval;t_start;t_end
0;car;34;34;18:45:00;18:47:30
1;person;6;6;18:45:00;18:47:30
2;motorcycle;3;3;18:45:00;18:47:30
3;bicycle;2;2;18:45:00;18:47:30
4;car;26;26;18:47:30;18:50:00
5;person;13;13;18:47:30;18:50:00
6;bus;2;2;18:47:30;18:50:00
7;motorcycle;1;1;18:47:30;18:50:00
8;bicycle;1;1;18:47:30;18:50:00
9;car;29;35;18:50:00;18:52:30
10;person;11;11;18:50:00;18:52:30
11;bus;1;1;18:50:00;18:52:30
12;car;25;25;18:52:30;18:55:00
13;person;21;21;18:52:30;18:55:00
14;bicycle;1;1;18:52:30;18:55:00
15;bus;1;1;18:52:30;18:55:00
16;car;24;24;18:55:00;18:57:30
17;person;8;8;18:55:00;18:57:30
18;bus;3;3;18:55:00;18:57:30
19;bicycle;2;2;18:55:00;18:57:30
20;car;31;31;18:57:30;19:00:00
21;person;9;9;18:57:30;19:00:00
22;bus;1;1;18:57:30;19:00:00
