;Class;gt;eval;t_start;t_end
0;car;30;29.0;18:30:00;18:32:30
1;person;13;13.0;18:30:00;18:32:30
2;bicycle;2;2.0;18:30:00;18:32:30
3;car;20;20.0;18:32:30;18:35:00
4;person;5;4.0;18:32:30;18:35:00
5;bus;2;2.0;18:32:30;18:35:00
6;car;27;26.0;18:35:00;18:37:30
7;person;11;12.0;18:35:00;18:37:30
8;bicycle;2;2.0;18:35:00;18:37:30
9;truck;1;1.0;18:35:00;18:37:30
10;motorcycle;1;1.0;18:35:00;18:37:30
11;bus;1;1.0;18:35:00;18:37:30
12;car;38;38.0;18:37:30;18:40:00
13;person;2;2.0;18:37:30;18:40:00
14;truck;2;2.0;18:37:30;18:40:00
15;bicycle;1;2.0;18:37:30;18:40:00
16;motorcycle;1;0.0;18:37:30;18:40:00
17;car;18;18.0;18:40:00;18:42:30
18;person;5;5.0;18:40:00;18:42:30
19;bus;2;2.0;18:40:00;18:42:30
20;car;23;23.0;18:42:30;18:45:00
21;person;5;5.0;18:42:30;18:45:00
22;bicycle;2;2.0;18:42:30;18:45:00
23;bus;1;1.0;18:42:30;18:45:00
