Class;gt;eval;t_start;t_end;gt_o;gt_s
person;97;79;13:15:00;13:20:00;85;86
bicycle;7;2;13:15:00;13:20:00;4;6
person;71;55;13:20:00;13:25:00;58;71
bicycle;3;2;13:20:00;13:25:00;0;3
motorcycle;0;0;13:20:00;13:25:00;1;0
person;81;70;13:25:00;13:30:00;71;76
bicycle;4;1;13:25:00;13:30:00;4;3
person;53;39;18:30:00;18:35:00;51;49
bicycle;2;1;18:30:00;18:35:00;2;2
person;47;33;18:35:00;18:40:00;46;44
bicycle;2;1;18:35:00;18:40:00;2;2
motorcycle;0;2;18:35:00;18:40:00;0;0
car;0;1;18:35:00;18:40:00;0;0
person;75;41;18:40:00;18:45:00;74;69
car;1;0;18:40:00;18:45:00;1;0
bicycle;1;0;18:40:00;18:45:00;1;1
motorcycle;0;1;18:40:00;18:45:00;0;0
person;63;49;18:45:00;18:50:00;63;54
bicycle;5;1;18:45:00;18:50:00;5;4
person;52;36;18:50:00;18:55:00;52;50
bicycle;1;0;18:50:00;18:55:00;1;1
person;59;48;18:55:00;19:00:00;59;55
car;0;1;18:55:00;19:00:00;0;0
