Class;gt;eval;t_start;t_end;gt_o;gt_s
car;61;59;13:15:00;13:20:00;61;59
person;38;36;13:15:00;13:20:00;33;31
bicycle;5;1;13:15:00;13:20:00;4;4
motorcycle;2;3;13:15:00;13:20:00;2;2
truck;1;3;13:15:00;13:20:00;1;1
bus;1;1;13:15:00;13:20:00;1;1
car;63;58;13:20:00;13:25:00;56;62
person;39;40;13:20:00;13:25:00;32;37
bicycle;3;2;13:20:00;13:25:00;2;3
bus;2;2;13:20:00;13:25:00;2;2
motorcycle;1;1;13:20:00;13:25:00;1;1
truck;0;4;13:20:00;13:25:00;1;0
car;74;67;13:25:00;13:30:00;73;72
person;43;49;13:25:00;13:30:00;40;44
bus;6;8;13:25:00;13:30:00;6;6
bicycle;4;1;13:25:00;13:30:00;4;4
truck;2;3;13:25:00;13:30:00;3;1
motorcycle;1;0;13:25:00;13:30:00;1;1
car;50;49;18:30:00;18:35:00;50;49
person;18;27;18:30:00;18:35:00;18;15
bicycle;3;0;18:30:00;18:35:00;3;3
bus;2;0;18:30:00;18:35:00;2;2
car;63;63;18:35:00;18:40:00;64;62
person;18;20;18:35:00;18:40:00;18;19
truck;3;1;18:35:00;18:40:00;3;3
bicycle;3;0;18:35:00;18:40:00;3;4
motorcycle;2;1;18:35:00;18:40:00;2;1
bus;1;0;18:35:00;18:40:00;1;1
car;43;43;18:40:00;18:45:00;43;43
person;31;30;18:40:00;18:45:00;30;28
bus;3;3;18:40:00;18:45:00;3;3
bicycle;2;0;18:40:00;18:45:00;2;2
truck;0;1;18:40:00;18:45:00;0;0
car;60;64;18:45:00;18:50:00;60;60
person;19;17;18:45:00;18:50:00;19;20
motorcycle;4;3;18:45:00;18:50:00;4;4
bicycle;3;0;18:45:00;18:50:00;3;2
bus;2;2;18:45:00;18:50:00;2;2
car;60;63;18:50:00;18:55:00;60;60
person;32;30;18:50:00;18:55:00;32;31
bus;2;1;18:50:00;18:55:00;2;2
bicycle;1;0;18:50:00;18:55:00;1;1
truck;0;1;18:50:00;18:55:00;0;0
car;55;59;18:55:00;19:00:00;55;56
person;17;11;18:55:00;19:00:00;17;15
bus;4;3;18:55:00;19:00:00;4;4
bicycle;2;0;18:55:00;19:00:00;2;2
motorcycle;0;1;18:55:00;19:00:00;0;0
