EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
1,Nord,1,327,171,93,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:04
2,Sued,1,397,113,156,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:07
3,Nord,2,305,170,514,Person,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:25
5,Sued,4,382,111,745,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:37
6,Nord,5,328,170,1114,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:55
7,Sued,5,397,113,1162,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:58
8,Nord,6,326,169,1137,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:56
9,Sued,6,399,111,1184,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:59
10,Nord,7,276,169,1181,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:59
11,Sued,7,397,111,1238,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:01
12,Nord,8,328,170,1752,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:27
13,Sued,8,401,111,1794,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:29
14,Nord,9,216,165,1855,Lkw ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:32
15,Sued,9,330,110,1889,Lkw ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:34
16,Nord,10,313,169,1879,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:33
17,Sued,10,395,111,1932,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:36
18,Nord,11,234,167,1907,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:35
19,Sued,11,343,110,1947,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:37
