EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
1,Haltelinie,1,292,284,362,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:18
2,Querschnitt_Straße,1,639,433,392,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:19
3,Haltelinie,2,292,287,422,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:21
4,Querschnitt_Straße,2,655,430,452,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:22
5,Haltelinie,4,182,326,1032,Fahrrad ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:51
6,Querschnitt_Straße,4,469,553,1185,Fahrrad ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:59
7,Haltelinie,3,188,318,1164,Motorisierte Zweiräder,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:58
8,FG2,3,200,387,1203,Motorisierte Zweiräder,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:00
9,Haltelinie,5,279,289,1149,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:57
10,Querschnitt_Straße,5,631,442,1183,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:59
11,Haltelinie,6,292,284,1188,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:59
12,Querschnitt_Straße,6,645,436,1213,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:00
13,Haltelinie,7,387,253,1200,Lieferwagen ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:00
14,Querschnitt_Straße,7,746,362,1247,Lieferwagen ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:02
15,Haltelinie,8,286,290,1239,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:01
16,Querschnitt_Straße,8,638,439,1260,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:03
17,Haltelinie,9,388,250,1257,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:02
18,Querschnitt_Straße,9,743,371,1292,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:04
19,Haltelinie,10,288,287,1299,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:04
20,Querschnitt_Straße,10,632,448,1318,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:05
