EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
1,Nord,1,253,166,420,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:30:21
2,Sued,1,351,112,480,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:30:24
3,Sued,2,484,112,1064,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:30:53
4,Nord,2,473,173,1634,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:21
5,Nord,3,299,167,1899,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:34
6,Sued,3,380,111,1944,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:37
7,Nord,4,290,169,1919,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:35
8,Sued,4,371,111,1964,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:38
9,Nord,5,236,169,1909,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:35
10,Sued,5,329,112,1939,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:36
11,Nord,6,302,170,1972,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:38
12,Sued,6,381,111,2017,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:40
13,Nord,7,240,166,2002,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:40
14,Sued,7,353,109,2041,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:42
15,Nord,8,232,168,2014,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:40
16,Sued,8,336,109,2050,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:42
17,Nord,9,304,169,2029,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:41
18,Sued,9,386,111,2083,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:44
19,Nord,10,311,168,2155,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:47
20,Sued,10,379,113,2200,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:50
21,Nord,11,283,169,2578,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:32:08
22,Sued,11,381,110,2644,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:32:12
23,Nord,12,270,169,3616,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:00
24,Sued,12,366,111,3676,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:03
25,Nord,13,307,168,3841,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:12
26,Sued,13,390,111,3880,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:14
27,Nord,14,296,167,3853,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:12
28,Sued,14,383,111,3892,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:14
29,Nord,15,275,169,3892,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:14
30,Sued,15,379,111,3934,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:16
31,Nord,16,266,167,3907,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:15
32,Sued,16,350,109,3940,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:17
33,Nord,17,310,168,3940,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:17
34,Sued,17,389,111,3997,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:19
35,Nord,18,302,169,4042,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:22
36,Sued,18,385,112,4099,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:24
37,Nord,19,287,169,4069,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:23
38,Sued,19,364,112,4117,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:25
39,Nord,20,245,166,4069,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:23
40,Sued,20,330,110,4099,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:33:24
41,Nord,21,430,172,5777,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:34:48
42,Sued,21,483,113,5937,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:34:56
43,Nord,22,280,169,5825,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:34:51
44,Sued,22,381,111,5891,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:34:54
45,Nord,23,312,169,6075,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:03
46,Sued,23,386,111,6104,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:05
47,Nord,24,294,168,6191,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:09
48,Sued,24,376,112,6223,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:11
49,Nord,25,313,169,6203,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:10
50,Sued,25,386,113,6237,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:11
51,Nord,26,308,170,6276,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:13
52,Sued,26,387,111,6316,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:15
53,Nord,27,311,170,7542,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:17
54,Sued,27,392,114,7600,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:20
55,Nord,28,451,173,7577,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:18
56,Sued,28,463,113,7695,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:24
57,Nord,29,462,173,7767,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:28
58,Sued,29,489,113,7886,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:34
59,Nord,30,467,174,8214,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:50
60,Sued,30,460,111,8346,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:57
61,Nord,31,301,169,8327,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:56
62,Sued,31,383,111,8383,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:59
63,Nord,32,308,168,8720,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:16
64,Sued,32,391,109,8764,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:18
65,Nord,33,299,168,8811,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:20
66,Sued,33,382,114,8858,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:22
67,Nord,34,307,169,8832,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:21
68,Sued,34,384,112,8878,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:23
69,Nord,35,244,167,8830,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:21
70,Sued,35,342,112,8864,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:23
71,Nord,36,311,171,8895,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:24
72,Sued,36,382,115,8936,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:26
73,Nord,37,280,167,8960,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:28
74,Sued,37,375,109,9007,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:30
75,Nord,38,416,174,9071,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:33
76,Sued,38,468,113,9146,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:37
77,Sued,39,486,114,9073,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:33
78,Nord,39,463,172,9203,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:40
79,Nord,40,436,170,9244,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:42
80,Sued,40,487,114,9381,Person,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:49
81,Sued,41,446,113,9269,Bicycle,TUDCam01_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:43
