EventID,TrackID,SectionID,Class,Frame,X,Y,DateTime
968,2312,Haltelinie,car,102,334,270,2022-10-17 18:30:05
969,2312,Querschnitt_Straße,car,133,692,405,2022-10-17 18:30:06
970,2317,FG1,person,50,780,313,2022-10-17 18:30:02
971,2318,Haltelinie,car,180,330,275,2022-10-17 18:30:09
972,2318,Querschnitt_Straße,car,209,679,413,2022-10-17 18:30:10
973,2324,FG2,person,480,236,417,2022-10-17 18:30:24
974,2325,FG1,person,1042,772,310,2022-10-17 18:30:52
975,2325,FG2,person,479,340,527,2022-10-17 18:30:23
976,2325,Querschnitt_Straße,person,552,724,378,2022-10-17 18:30:27
977,2332,FG1,person,614,609,242,2022-10-17 18:30:30
978,2332,FG2,person,389,289,470,2022-10-17 18:30:19
979,2334,Haltelinie,car,854,341,269,2022-10-17 18:30:42
980,2334,Querschnitt_Straße,car,893,695,404,2022-10-17 18:30:44
981,2346,FG1,person,733,754,304,2022-10-17 18:30:36
982,2346,Querschnitt_Straße,person,562,705,391,2022-10-17 18:30:28
983,2347,Haltelinie,car,835,421,243,2022-10-17 18:30:41
984,2347,Querschnitt_Straße,car,876,764,356,2022-10-17 18:30:43
985,2349,FG1,unclear,599,757,304,2022-10-17 18:30:29
986,2349,Querschnitt_Straße,unclear,541,747,361,2022-10-17 18:30:27
987,2353,Haltelinie,car,917,327,274,2022-10-17 18:30:45
988,2353,Querschnitt_Straße,car,948,673,408,2022-10-17 18:30:47
989,2360,Haltelinie,car,888,418,241,2022-10-17 18:30:44
990,2360,Querschnitt_Straße,car,920,767,351,2022-10-17 18:30:46
991,2362,Querschnitt_Straße,unclear,492,602,437,2022-10-17 18:30:24
992,2372,Haltelinie,car,976,311,280,2022-10-17 18:30:48
993,2372,Querschnitt_Straße,car,1002,660,429,2022-10-17 18:30:50
994,2381,FG1,person,708,735,295,2022-10-17 18:30:35
995,2385,FG1,person,832,714,286,2022-10-17 18:30:41
996,2385,FG2,person,606,299,484,2022-10-17 18:30:30
997,2391,FG1,person,602,791,319,2022-10-17 18:30:30
998,2391,Querschnitt_Straße,person,636,788,335,2022-10-17 18:30:31
999,2395,FG1,person,661,761,302,2022-10-17 18:30:33
1000,2399,Haltelinie,car,941,420,239,2022-10-17 18:30:47
1001,2399,Querschnitt_Straße,car,968,765,348,2022-10-17 18:30:48
1002,2401,Haltelinie,person,666,510,211,2022-10-17 18:30:33
1003,2401,FG1,person,629,560,222,2022-10-17 18:30:31
1004,2406,FG2,person,803,242,424,2022-10-17 18:30:40
1005,2424,FG1,person,738,766,307,2022-10-17 18:30:36
1006,2445,FG2,person,1434,251,435,2022-10-17 18:31:11
1007,2447,Haltelinie,person,877,202,315,2022-10-17 18:30:43
1008,2447,Querschnitt_Straße,person,912,522,516,2022-10-17 18:30:45
1009,2448,FG2,person,1423,244,427,2022-10-17 18:31:11
1010,2449,Haltelinie,motorcycle,875,207,316,2022-10-17 18:30:43
1011,2455,Haltelinie,car,986,418,240,2022-10-17 18:30:49
1012,2455,Querschnitt_Straße,car,1014,766,350,2022-10-17 18:30:50
1013,2457,Haltelinie,car,1059,331,270,2022-10-17 18:30:52
1014,2457,Querschnitt_Straße,car,1082,681,404,2022-10-17 18:30:54
1015,2465,Haltelinie,car,1015,332,273,2022-10-17 18:30:50
1016,2465,Querschnitt_Straße,car,1041,685,410,2022-10-17 18:30:52
1017,2468,Haltelinie,car,1030,424,239,2022-10-17 18:30:51
1018,2468,Querschnitt_Straße,car,1063,769,349,2022-10-17 18:30:53
1019,2471,Haltelinie,car,1097,317,277,2022-10-17 18:30:54
1020,2471,Querschnitt_Straße,car,1119,665,420,2022-10-17 18:30:55
1021,2480,Haltelinie,car,1109,425,240,2022-10-17 18:30:55
1022,2480,Querschnitt_Straße,car,1153,778,341,2022-10-17 18:30:57
1023,2481,Haltelinie,car,1159,322,275,2022-10-17 18:30:57
1024,2481,Querschnitt_Straße,car,1182,663,413,2022-10-17 18:30:59
1025,2500,Haltelinie,car,1269,379,259,2022-10-17 18:31:03
1026,2500,Querschnitt_Straße,car,1280,751,377,2022-10-17 18:31:04
1027,2508,Haltelinie,person,1242,520,210,2022-10-17 18:31:02
1028,2508,FG1,person,1241,520,210,2022-10-17 18:31:02
1029,2526,Querschnitt_Straße,person,1531,626,444,2022-10-17 18:31:16
1030,2527,Querschnitt_Straße,person,1482,764,348,2022-10-17 18:31:14
1031,2536,FG1,person,1546,793,320,2022-10-17 18:31:17
1032,2536,Querschnitt_Straße,person,1536,793,330,2022-10-17 18:31:16
1033,2544,Haltelinie,person,1657,498,215,2022-10-17 18:31:22
1034,2547,Haltelinie,car,1916,421,241,2022-10-17 18:31:35
1035,2547,Querschnitt_Straße,car,1966,766,350,2022-10-17 18:31:38
1036,2551,FG1,bicycle,1877,667,267,2022-10-17 18:31:33
1037,2551,FG2,bicycle,1711,235,416,2022-10-17 18:31:25
1038,2553,FG2,person,1697,299,481,2022-10-17 18:31:24
1039,2564,FG2,person,1714,242,425,2022-10-17 18:31:25
1040,2568,FG2,person,1726,360,547,2022-10-17 18:31:26
1041,2570,FG1,person,1738,747,300,2022-10-17 18:31:26
1042,2572,Haltelinie,car,1958,440,236,2022-10-17 18:31:37
1043,2572,Querschnitt_Straße,car,2004,785,339,2022-10-17 18:31:40
1044,2579,Haltelinie,person,1797,502,213,2022-10-17 18:31:29
1045,2579,FG1,person,1757,561,223,2022-10-17 18:31:27
1046,2599,Haltelinie,car,1936,309,276,2022-10-17 18:31:36
1047,2599,Querschnitt_Straße,car,1952,657,414,2022-10-17 18:31:37
1048,2604,FG1,person,1910,740,298,2022-10-17 18:31:35
1049,2616,Haltelinie,car,2022,419,243,2022-10-17 18:31:41
1050,2616,Querschnitt_Straße,car,2063,755,352,2022-10-17 18:31:43
1051,2617,Haltelinie,car,2016,318,273,2022-10-17 18:31:40
1052,2617,Querschnitt_Straße,car,2029,667,407,2022-10-17 18:31:41
1053,2618,FG1,person,1913,795,319,2022-10-17 18:31:35
1054,2618,Querschnitt_Straße,person,1959,768,348,2022-10-17 18:31:37
1055,2630,Haltelinie,car,2653,412,244,2022-10-17 18:32:12
1056,2630,Querschnitt_Straße,car,2704,760,357,2022-10-17 18:32:15
1057,2631,Querschnitt_Straße,person,2003,786,335,2022-10-17 18:31:40
1058,2637,FG1,person,1994,649,258,2022-10-17 18:31:39
1059,2652,Haltelinie,person,2379,473,224,2022-10-17 18:31:58
1060,2652,FG2,person,2263,332,520,2022-10-17 18:31:53
1061,2656,FG2,person,2453,251,437,2022-10-17 18:32:02
1062,2664,Haltelinie,person,2251,477,222,2022-10-17 18:31:52
1063,2669,FG2,bicycle,2261,315,504,2022-10-17 18:31:53
1064,2675,FG1,person,2312,563,223,2022-10-17 18:31:55
1065,2677,FG2,person,2341,274,459,2022-10-17 18:31:57
1066,2692,FG2,person,2515,246,431,2022-10-17 18:32:05
1067,2693,FG2,person,2321,225,402,2022-10-17 18:31:56
1068,2698,FG1,person,2337,599,238,2022-10-17 18:31:56
1069,2719,FG2,person,2425,266,452,2022-10-17 18:32:01
1070,2723,FG2,person,2468,232,420,2022-10-17 18:32:03
1071,2735,FG2,person,2427,235,407,2022-10-17 18:32:01
1072,2738,Haltelinie,car,2643,322,275,2022-10-17 18:32:12
1073,2738,Querschnitt_Straße,car,2673,671,415,2022-10-17 18:32:13
1074,2739,FG1,person,2463,791,318,2022-10-17 18:32:03
1075,2739,Querschnitt_Straße,person,2933,784,337,2022-10-17 18:32:26
1076,2744,FG1,person,2597,747,300,2022-10-17 18:32:09
1077,2756,Haltelinie,car,2707,425,241,2022-10-17 18:32:15
1078,2756,Querschnitt_Straße,car,2743,766,354,2022-10-17 18:32:17
1079,2759,Haltelinie,car,2738,416,243,2022-10-17 18:32:16
1080,2759,Querschnitt_Straße,car,2776,760,352,2022-10-17 18:32:18
1081,2760,FG1,person,2649,670,268,2022-10-17 18:32:12
1082,2760,Querschnitt_Straße,person,3086,675,409,2022-10-17 18:32:34
1083,2770,Haltelinie,car,2738,318,274,2022-10-17 18:32:16
1084,2770,Querschnitt_Straße,car,2760,675,420,2022-10-17 18:32:18
1085,2773,FG2,unclear,2529,237,419,2022-10-17 18:32:06
1086,2777,FG2,person,2545,205,389,2022-10-17 18:32:07
1087,2790,FG2,person,3012,228,414,2022-10-17 18:32:30
1088,2791,Querschnitt_Straße,person,2559,776,342,2022-10-17 18:32:07
1089,2813,Haltelinie,car,2814,326,271,2022-10-17 18:32:20
1090,2813,Querschnitt_Straße,car,2836,680,411,2022-10-17 18:32:21
1091,2816,Haltelinie,car,2824,432,239,2022-10-17 18:32:21
1092,2816,Querschnitt_Straße,car,2855,761,348,2022-10-17 18:32:22
1093,2822,Haltelinie,car,2865,349,268,2022-10-17 18:32:23
1094,2822,Querschnitt_Straße,car,2888,697,390,2022-10-17 18:32:24
1095,2842,Haltelinie,car,2916,332,274,2022-10-17 18:32:25
1096,2842,Querschnitt_Straße,car,2941,672,409,2022-10-17 18:32:27
1097,2847,Haltelinie,car,3178,423,244,2022-10-17 18:32:38
1098,2847,Querschnitt_Straße,car,3205,756,353,2022-10-17 18:32:40
1099,2852,FG1,person,2860,566,225,2022-10-17 18:32:23
1100,2854,Haltelinie,car,3120,432,239,2022-10-17 18:32:36
1101,2854,Querschnitt_Straße,car,3158,775,340,2022-10-17 18:32:37
1102,2856,Haltelinie,person,2851,476,223,2022-10-17 18:32:22
1103,2865,FG1,person,2873,577,229,2022-10-17 18:32:23
1104,2867,FG1,person,2887,605,241,2022-10-17 18:32:24
1105,2868,Haltelinie,person,2915,485,219,2022-10-17 18:32:25
1106,2868,FG1,person,2975,583,231,2022-10-17 18:32:28
1107,2869,FG1,person,2916,655,260,2022-10-17 18:32:25
1108,2870,FG1,person,2912,531,209,2022-10-17 18:32:25
