EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
1,Sued,1,481,75,360,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:30:18
2,Nord,1,540,147,520,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:30:26
3,Nord,2,475,158,576,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:30:28
4,Sued,2,437,82,877,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:30:43
5,Sued,3,530,73,572,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:30:28
6,Nord,3,629,134,610,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:30:30
7,Sued,4,544,71,652,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:30:32
8,Nord,4,637,128,694,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:30:34
9,Sued,5,448,81,1179,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:30:58
10,Nord,5,479,158,1269,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:31:03
11,Sued,6,545,72,2649,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:32:12
12,Nord,6,628,130,2689,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:32:14
13,Sued,7,541,75,3009,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:32:30
14,Nord,7,743,110,3069,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:32:33
15,Sued,8,540,70,5657,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:34:42
16,Nord,8,640,131,5694,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:34:44
17,Sued,9,566,69,6398,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:19
18,Nord,9,751,111,6458,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:22
19,Nord,10,561,147,6696,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:34
20,Sued,10,482,75,6786,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:39
21,Sued,11,569,70,6768,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:38
22,Nord,11,704,122,6822,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:41
23,Sued,12,453,79,6960,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:48
24,Nord,12,482,158,7158,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:57
25,Sued,13,541,71,7050,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:52
26,Nord,13,651,127,7104,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:35:55
27,Sued,14,496,76,7496,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:14
28,Nord,14,556,144,7536,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:16
29,Nord,15,491,154,7536,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:16
30,Sued,15,453,79,7776,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:28
31,Sued,16,541,73,7616,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:20
32,Nord,16,635,133,7660,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:23
33,Sued,17,533,74,7996,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:39
34,Nord,17,733,115,8035,Bicycle,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:36:41
35,Sued,18,440,79,8917,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:25
36,Nord,18,476,161,9157,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:37
37,Sued,19,467,75,9129,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:36
38,Nord,19,483,159,9225,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:41
39,Sued,20,617,63,9508,Car,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:55
40,Nord,20,769,111,9530,Car,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:37:56
41,Nord,21,541,146,9985,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:38:19
42,Sued,21,482,75,10183,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:38:29
43,Nord,22,471,159,10183,Person,TUDCam02_FR20_2022-09-20_08-30-00.mp4,2022-09-20 08:38:29
