EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
1,FG1,3,787,318,0,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:00
2,Querschnitt_Straße,3,775,346,26,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:01
3,FG1,4,651,263,57,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:02
4,Querschnitt_Straße,4,641,435,167,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:08
5,FG1,2,682,273,0,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:00
6,FG2,2,312,493,963,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:48
7,FG1,1,705,284,0,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:00
8,FG2,1,390,575,958,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:47
9,FG1,5,742,297,63,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:03
10,FG2,5,372,556,927,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:46
11,FG1,6,701,281,175,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:08
12,FG2,6,345,530,966,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:48
15,FG1,8,762,306,692,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:34
16,Querschnitt_Straße,8,659,424,835,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:41
17,FG1,10,780,314,677,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:33
18,Querschnitt_Straße,10,735,373,784,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:39
19,FG1,7,653,258,801,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:40
20,FG2,7,243,430,1018,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:50
21,FG2,11,230,414,749,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:37
22,FG1,11,738,298,1006,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:50
23,FG2,12,207,390,746,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:37
24,FG1,12,720,290,998,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:49
25,FG2,13,195,377,767,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:38
26,FG1,13,706,284,1012,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:50
27,FG2,14,206,389,776,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:38
28,FG1,14,733,294,1031,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:51
29,FG2,15,239,421,795,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:39
30,FG1,15,630,248,1037,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:51
31,FG2,16,199,379,829,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:41
32,FG1,16,601,238,1001,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:50
33,FG2,17,233,417,840,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:42
34,FG1,17,644,258,1066,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:53
35,Haltelinie,18,184,326,1028,Fahrrad ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:51
36,Querschnitt_Straße,18,461,558,1183,Fahrrad ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:59
37,Haltelinie,19,191,323,1160,Motorisierte Zweiräder,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:58
38,FG2,19,194,382,1196,Motorisierte Zweiräder,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:59
39,FG1,22,781,313,1441,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:12
40,Querschnitt_Straße,22,758,358,1714,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:25
41,FG1,23,791,317,1645,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:22
42,Querschnitt_Straße,23,778,344,1708,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:25
43,FG1,21,588,232,1111,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:55
44,Querschnitt_Straße,21,690,406,1791,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:29
45,FG1,20,580,232,1097,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:54
46,Querschnitt_Straße,20,649,440,1812,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:30
47,FG1,24,744,298,1717,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:25
48,Querschnitt_Straße,24,754,361,1797,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:29
49,Haltelinie,25,276,291,1146,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:57
50,Querschnitt_Straße,25,625,446,1183,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:59
51,Haltelinie,26,278,291,1185,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:59
52,Querschnitt_Straße,26,639,442,1213,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:00
53,Haltelinie,27,384,255,1199,Lieferwagen ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:15:59
54,Querschnitt_Straße,27,731,378,1246,Lieferwagen ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:02
55,Haltelinie,28,273,291,1237,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:01
56,Querschnitt_Straße,28,620,447,1259,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:02
57,Haltelinie,29,381,254,1255,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_13-15-00.mp4,2022-10-17 13:16:02
