EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
1,Nord,1,267,169,363,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:00:18
2,Sued,1,389,110,435,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:00:21
3,Nord,2,317,171,751,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:00:37
4,Sued,2,404,111,827,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:00:41
5,Nord,3,280,169,867,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:00:43
6,Sued,3,363,111,905,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:00:45
7,Nord,4,412,172,1482,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:14
8,Sued,4,450,112,1539,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:16
9,Nord,5,231,168,1566,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:18
10,Sued,5,348,113,1604,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:20
11,Nord,6,332,169,1587,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:19
12,Sued,6,399,111,1629,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:21
13,Nord,7,318,170,1666,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:23
14,Sued,7,394,112,1715,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:25
15,Nord,8,329,170,1751,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:27
16,Sued,8,399,112,1801,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:30
17,Nord,9,319,170,1828,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:31
18,Sued,9,401,110,1871,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:33
19,Nord,10,295,169,2135,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:46
20,Sued,10,388,110,2169,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:48
21,Nord,11,326,171,2153,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:47
22,Sued,11,404,111,2221,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:51
23,Nord,12,283,169,2269,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:53
24,Sued,12,404,111,2324,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:56
25,Sued,13,494,115,2384,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:59
26,Nord,13,469,177,2516,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:02:05
27,Sued,14,365,111,3037,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:02:31
28,Nord,15,270,169,3051,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:02:32
29,Sued,15,400,112,3119,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:02:35
30,Nord,16,453,175,3161,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:02:38
31,Sued,16,489,114,3325,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:02:46
32,Nord,17,305,170,3838,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:11
33,Sued,17,395,110,3899,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:14
34,Nord,18,227,166,3971,Schienenfahrzeug,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:18
35,Sued,18,328,110,3992,Schienenfahrzeug,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:19
36,Nord,19,321,171,4318,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:35
37,Sued,19,388,112,4359,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:37
38,Nord,20,308,169,4341,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:37
39,Sued,20,399,110,4389,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:39
40,Nord,21,457,173,4361,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:38
41,Sued,21,486,112,4518,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:45
42,Nord,22,433,173,4607,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:50
43,Sued,22,434,113,4690,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:54
44,Nord,23,275,170,5092,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:04:14
45,Sued,23,386,112,5162,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:04:18
46,Sued,24,385,112,5251,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:04:22
47,Nord,25,425,173,5516,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:04:35
48,Sued,25,448,112,5611,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:04:40
49,Nord,26,217,167,5706,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:04:45
50,Sued,26,404,112,5766,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:04:48
51,Nord,27,421,173,6389,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:19
52,Sued,27,449,113,6464,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:23
53,Nord,28,319,171,6430,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:21
54,Sued,28,398,110,6489,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:24
55,Nord,29,332,169,6447,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:22
56,Sued,29,401,111,6498,Fahrrad ohne Anhänger,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:24
