EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
1,Nord,1,249,166,361,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:00:18
2,Sued,1,377,111,417,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:00:20
3,Nord,2,284,169,741,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:00:37
4,Sued,2,388,114,805,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:00:40
5,Nord,3,256,168,865,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:00:43
6,Sued,3,356,110,901,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:00:45
7,Nord,4,426,173,1473,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:13
8,Sued,4,447,112,1533,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:16
9,Nord,5,297,168,1581,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:19
10,Sued,5,381,112,1617,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:20
11,Nord,6,304,169,1665,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:23
12,Sued,6,379,109,1705,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:25
13,Nord,7,309,169,1749,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:27
14,Sued,7,384,107,1789,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:29
15,Nord,8,299,168,1825,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:31
16,Sued,8,383,111,1861,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:33
17,Nord,9,309,167,2149,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:47
18,Sued,9,391,113,2209,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:50
19,Nord,10,241,165,2129,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:46
20,Sued,10,373,111,2165,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:48
21,Nord,11,242,167,2265,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:53
22,Sued,11,390,111,2313,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:55
23,Sued,12,490,113,2385,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:01:59
24,Nord,12,467,173,2509,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:02:05
25,Nord,13,454,171,3161,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:02:38
26,Sued,13,487,111,3313,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:02:45
27,Nord,14,247,169,3833,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:11
28,Sued,14,377,110,3885,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:14
29,Nord,15,455,172,4361,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:38
30,Sued,15,486,113,4505,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:45
31,Nord,16,294,169,4313,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:35
32,Sued,16,382,111,4353,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:37
33,Nord,17,284,167,4337,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:36
34,Sued,17,385,112,4377,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:38
35,Nord,18,452,174,4597,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:49
36,Sued,18,422,112,4669,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:03:53
37,Nord,19,247,167,5085,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:04:14
38,Sued,19,371,111,5153,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:04:17
39,Nord,20,417,171,5513,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:04:35
40,Sued,20,445,113,5593,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:04:39
41,Nord,21,449,172,6373,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:18
42,Sued,21,442,113,6453,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:22
43,Nord,22,302,167,6425,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:21
44,Sued,22,379,110,6473,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:23
45,Nord,23,318,168,6445,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:22
46,Sued,23,386,112,6489,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:24
47,Nord,24,311,170,6497,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:24
48,Sued,24,388,110,6549,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:27
49,Nord,25,456,172,6561,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:28
50,Sued,25,483,113,6713,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:35
51,Nord,26,293,167,6621,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:31
52,Sued,26,383,113,6677,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:33
53,Nord,27,299,167,6657,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:32
54,Sued,27,385,111,6713,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:35
55,Sued,28,430,112,7053,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:52
56,Nord,29,260,169,7053,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:52
57,Sued,29,352,109,7116,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:05:55
58,Nord,30,310,170,7431,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:06:11
59,Sued,30,386,110,7494,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:06:14
60,Nord,31,303,167,8082,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:06:44
61,Sued,31,388,111,8138,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:06:46
62,Nord,32,244,165,8835,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:21
63,Sued,32,354,114,8867,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:23
64,Nord,33,307,168,8825,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:21
65,Sued,33,388,111,8877,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:23
66,Nord,34,270,167,8893,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:24
67,Sued,34,380,112,8971,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:28
68,Nord,35,297,170,9103,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:35
69,Sued,35,385,113,9157,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:37
70,Nord,36,445,172,9129,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:36
71,Sued,36,418,115,9237,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:41
72,Sued,37,480,115,9253,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:42
73,Nord,37,426,174,9313,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:45
74,Sued,38,469,111,9351,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:47
75,Nord,38,425,170,9501,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:55
76,Sued,39,483,114,9361,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:48
77,Nord,39,451,176,9503,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:55
78,Nord,40,407,171,9391,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:49
79,Sued,40,426,111,9463,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:07:53
80,Nord,41,303,169,10157,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:08:27
81,Sued,41,384,113,10195,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:08:29
82,Nord,42,302,169,10363,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:08:38
83,Sued,42,383,112,10423,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:08:41
84,Nord,43,425,169,10967,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:08
85,Sued,43,440,114,11040,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:12
86,Nord,44,433,171,11133,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:16
87,Sued,44,469,112,11250,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:22
88,Nord,45,313,167,11163,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:18
89,Sued,45,390,113,11193,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:19
90,Nord,46,303,170,11352,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:27
91,Sued,46,396,110,11400,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:30
92,Nord,47,247,166,11352,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:27
93,Sued,47,349,108,11376,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:28
94,Nord,48,290,168,11379,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:28
95,Sued,48,379,112,11421,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:31
96,Nord,49,237,169,11373,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:28
97,Sued,49,351,110,11409,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:30
98,Nord,50,231,168,11394,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:29
99,Sued,50,345,111,11427,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:09:31
100,Nord,51,302,167,12892,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:10:44
101,Sued,51,384,112,12924,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:10:46
102,Nord,52,304,171,12998,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:10:49
103,Sued,52,389,112,13034,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:10:51
104,Nord,53,315,169,13216,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:11:00
105,Sued,53,387,108,13272,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:11:03
106,Nord,54,304,170,13258,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:11:02
107,Sued,54,397,110,13314,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:11:05
108,Sued,55,454,113,14098,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:11:44
109,Nord,55,412,172,14210,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:11:50
110,Nord,56,264,170,14344,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:11:57
111,Sued,56,383,111,14395,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:11:59
112,Nord,57,464,174,14536,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:12:06
113,Sued,57,488,115,14719,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:12:15
114,Nord,58,366,171,14845,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:12:22
115,Sued,58,421,113,15001,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:12:30
116,Nord,59,309,169,15070,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:12:33
117,Sued,59,381,112,15100,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:12:35
118,Nord,60,248,166,15100,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:12:35
119,Sued,60,344,112,15127,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:12:36
120,Nord,61,278,168,15940,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:13:17
121,Sued,61,385,112,16003,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:13:20
122,Nord,62,268,168,15994,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:13:19
123,Sued,62,359,112,16078,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:13:23
124,Nord,63,308,168,16129,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:13:26
125,Sued,63,382,112,16177,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:13:28
126,Sued,64,453,117,17193,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:14:19
127,Nord,64,418,173,17281,Person,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:14:24
128,Nord,65,315,169,17241,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:14:22
129,Sued,65,384,110,17273,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:14:23
130,Nord,66,305,169,17313,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:14:25
131,Sued,66,389,112,17353,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:14:27
132,Nord,67,304,168,17417,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:14:30
133,Sued,67,388,110,17465,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:14:33
134,Nord,68,239,169,17417,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:14:30
135,Sued,68,357,109,17461,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:14:33
136,Nord,69,304,167,17593,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:14:39
137,Sued,69,387,111,17649,Bicycle,TUDCam01_FR20_2022-09-20_08-00-00.mp4,2022-09-20 08:14:42
