,Class,Crossed_Section,Movement,Appearance
4310,car,,,2022-10-17 18:45:00
5208,motorcycle,,,2022-10-17 18:45:00
5209,motorcycle,,,2022-10-17 18:45:00
5217,person,,,2022-10-17 18:45:00
5271,car,,,2022-10-17 18:45:00
5276,car,,,2022-10-17 18:45:00
5277,car,,,2022-10-17 18:45:00
5290,motorcycle,,,2022-10-17 18:45:00
5303,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:45:00
5313,person,['FG1'],,2022-10-17 18:45:00
5332,person,['FG1'],,2022-10-17 18:45:00
5336,person,,,2022-10-17 18:45:00
5337,person,['FG1'],,2022-10-17 18:45:00
5339,person,['FG1'],,2022-10-17 18:45:00
5341,person,['FG1'],,2022-10-17 18:45:01
5342,person,,,2022-10-17 18:45:01
5343,person,,,2022-10-17 18:45:01
5344,person,,,2022-10-17 18:45:02
5345,car,,,2022-10-17 18:45:02
5346,person,,,2022-10-17 18:45:02
5347,person,,,2022-10-17 18:45:03
5348,person,,,2022-10-17 18:45:03
5352,person,"['FG2', 'Querschnitt_Straße']",,2022-10-17 18:45:04
5353,person,['FG2'],,2022-10-17 18:45:04
5354,person,,,2022-10-17 18:45:04
5355,motorcycle,,,2022-10-17 18:45:04
5357,motorcycle,,,2022-10-17 18:45:04
5359,motorcycle,,,2022-10-17 18:45:05
5361,person,['FG1'],,2022-10-17 18:45:05
5363,person,,,2022-10-17 18:45:06
5364,person,['FG2'],,2022-10-17 18:45:06
5366,person,,,2022-10-17 18:45:06
5367,person,,,2022-10-17 18:45:06
5369,person,,,2022-10-17 18:45:07
5370,person,,,2022-10-17 18:45:08
5371,bicycle,['FG1'],,2022-10-17 18:45:10
5373,person,,,2022-10-17 18:45:11
5374,person,,,2022-10-17 18:45:13
5375,bicycle,,,2022-10-17 18:45:13
5376,car,,,2022-10-17 18:45:14
5377,person,,,2022-10-17 18:45:14
5379,car,,,2022-10-17 18:45:15
5385,bicycle,,,2022-10-17 18:45:16
5386,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:45:16
5387,motorcycle,,,2022-10-17 18:45:17
5388,person,,,2022-10-17 18:45:17
5389,person,,,2022-10-17 18:45:18
5390,car,,,2022-10-17 18:45:19
5391,motorcycle,,,2022-10-17 18:45:19
5393,motorcycle,,,2022-10-17 18:45:20
5394,person,,,2022-10-17 18:45:20
5395,person,,,2022-10-17 18:45:21
5396,person,,,2022-10-17 18:45:21
5397,person,['Haltelinie'],,2022-10-17 18:45:21
5399,unclear,,,2022-10-17 18:45:22
5401,person,,,2022-10-17 18:45:22
5402,unclear,,,2022-10-17 18:45:22
5405,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:45:23
5408,unclear,,,2022-10-17 18:45:23
5409,unclear,['Querschnitt_Straße'],,2022-10-17 18:45:23
5410,unclear,,,2022-10-17 18:45:24
5412,person,,,2022-10-17 18:45:24
5413,car,,,2022-10-17 18:45:24
5414,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:45:24
5415,unclear,['Querschnitt_Straße'],,2022-10-17 18:45:24
5417,person,,,2022-10-17 18:45:25
5418,car,,,2022-10-17 18:45:25
5419,unclear,,,2022-10-17 18:45:25
5420,unclear,,,2022-10-17 18:45:25
5421,person,,,2022-10-17 18:45:26
5422,person,,,2022-10-17 18:45:26
5424,car,,,2022-10-17 18:45:26
5426,car,,,2022-10-17 18:45:26
5427,person,,,2022-10-17 18:45:26
5429,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:45:27
5431,unclear,,,2022-10-17 18:45:27
5432,unclear,"['FG1', 'Querschnitt_Straße']",,2022-10-17 18:45:27
5434,motorcycle,,,2022-10-17 18:45:27
5435,unclear,,,2022-10-17 18:45:27
5436,person,['Querschnitt_Straße'],,2022-10-17 18:45:27
5437,car,,,2022-10-17 18:45:27
5438,unclear,,,2022-10-17 18:45:27
5440,person,,,2022-10-17 18:45:28
5441,car,,,2022-10-17 18:45:28
5442,unclear,,,2022-10-17 18:45:28
5444,car,['Haltelinie'],,2022-10-17 18:45:29
5446,car,,,2022-10-17 18:45:29
5451,unclear,,,2022-10-17 18:45:32
5452,motorcycle,,,2022-10-17 18:45:32
5453,unclear,,,2022-10-17 18:45:32
5454,person,,,2022-10-17 18:45:32
5456,person,,,2022-10-17 18:45:33
5457,motorcycle,,,2022-10-17 18:45:33
5459,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:45:33
5460,car,,,2022-10-17 18:45:34
5461,unclear,,,2022-10-17 18:45:34
5462,car,,,2022-10-17 18:45:35
5463,motorcycle,,,2022-10-17 18:45:36
5464,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:45:36
5465,car,,,2022-10-17 18:45:37
5466,car,,,2022-10-17 18:45:38
5467,motorcycle,,,2022-10-17 18:45:38
5468,person,,,2022-10-17 18:45:40
5469,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:45:41
5470,person,,,2022-10-17 18:45:41
5471,motorcycle,,,2022-10-17 18:45:42
5472,motorcycle,,,2022-10-17 18:45:43
5473,unclear,['Querschnitt_Straße'],,2022-10-17 18:45:44
5474,car,,,2022-10-17 18:45:44
5476,car,,,2022-10-17 18:45:45
5477,car,,,2022-10-17 18:45:46
5478,car,,,2022-10-17 18:45:48
5479,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:45:48
5480,car,,,2022-10-17 18:45:48
5481,car,,,2022-10-17 18:45:48
5482,car,,,2022-10-17 18:45:48
5483,motorcycle,,,2022-10-17 18:45:48
5484,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:45:49
5486,car,,,2022-10-17 18:45:50
5489,car,,,2022-10-17 18:45:51
5490,car,['Haltelinie'],,2022-10-17 18:45:51
5491,car,,,2022-10-17 18:45:52
5492,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:45:52
5493,car,['Querschnitt_Straße'],,2022-10-17 18:45:52
5494,motorcycle,,,2022-10-17 18:45:52
5496,unclear,,,2022-10-17 18:45:52
5498,motorcycle,,,2022-10-17 18:45:52
5499,car,['Querschnitt_Straße'],,2022-10-17 18:45:53
5500,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:45:53
5506,car,"['Haltelinie', 'Querschnitt_Straße']",,2022-10-17 18:45:53
5509,person,,,2022-10-17 18:45:54
5510,motorcycle,,,2022-10-17 18:45:54
5511,motorcycle,,,2022-10-17 18:45:54
5512,unclear,['FG2'],,2022-10-17 18:45:55
5513,car,,,2022-10-17 18:45:56
5514,car,,,2022-10-17 18:45:56
5515,car,,,2022-10-17 18:45:56
