,Class,Crossed_Section,Movement,Appearance
861,unclear,,,2022-09-20 08:00:00
862,unclear,,,2022-09-20 08:00:02
863,car,,,2022-09-20 08:00:02
864,unclear,,,2022-09-20 08:00:03
865,unclear,,,2022-09-20 08:00:04
866,person,"['Nord', 'Sued']",,2022-09-20 08:00:09
867,bicycle,,,2022-09-20 08:00:09
868,car,,,2022-09-20 08:00:10
869,bicycle,,,2022-09-20 08:00:10
870,bicycle,['Nord'],,2022-09-20 08:00:12
871,person,,,2022-09-20 08:00:13
874,bicycle,,,2022-09-20 08:00:15
876,bicycle,['Sued'],,2022-09-20 08:00:17
877,car,,,2022-09-20 08:00:18
878,unclear,,,2022-09-20 08:00:22
879,car,,,2022-09-20 08:00:25
880,person,,,2022-09-20 08:00:29
881,bicycle,['Nord'],,2022-09-20 08:00:31
882,unclear,,,2022-09-20 08:00:31
883,person,"['Nord', 'Sued']",,2022-09-20 08:00:32
887,unclear,,,2022-09-20 08:00:32
896,person,"['Nord', 'Sued']",,2022-09-20 08:00:39
897,bicycle,"['Nord', 'Sued']",,2022-09-20 08:00:39
898,bicycle,,,2022-09-20 08:00:40
899,bicycle,,,2022-09-20 08:00:40
900,person,,,2022-09-20 08:00:41
901,unclear,,,2022-09-20 08:00:41
903,unclear,,,2022-09-20 08:00:41
905,bicycle,,,2022-09-20 08:00:43
907,unclear,,,2022-09-20 08:00:45
911,unclear,,,2022-09-20 08:00:46
912,unclear,,,2022-09-20 08:00:47
914,car,,,2022-09-20 08:00:56
915,unclear,,,2022-09-20 08:00:57
916,person,,,2022-09-20 08:01:03
917,car,,,2022-09-20 08:01:03
919,person,"['Nord', 'Sued']",,2022-09-20 08:01:05
920,bicycle,['Nord'],,2022-09-20 08:01:06
924,person,,,2022-09-20 08:01:10
927,bicycle,['Sued'],,2022-09-20 08:01:15
928,person,,,2022-09-20 08:01:15
931,bicycle,['Nord'],,2022-09-20 08:01:15
932,person,"['Nord', 'Sued']",,2022-09-20 08:01:15
933,person,,,2022-09-20 08:01:15
934,person,,,2022-09-20 08:01:17
935,person,,,2022-09-20 08:01:17
937,person,,,2022-09-20 08:01:18
939,bicycle,"['Nord', 'Sued']",,2022-09-20 08:01:19
941,person,"['Nord', 'Sued']",,2022-09-20 08:01:19
942,person,,,2022-09-20 08:01:19
945,car,,,2022-09-20 08:01:20
948,bicycle,['Nord'],,2022-09-20 08:01:23
950,person,"['Nord', 'Sued']",,2022-09-20 08:01:23
955,unclear,,,2022-09-20 08:01:23
959,unclear,,,2022-09-20 08:01:24
961,person,,,2022-09-20 08:01:25
962,bicycle,,,2022-09-20 08:01:26
963,person,,,2022-09-20 08:01:26
965,person,,,2022-09-20 08:01:27
967,person,"['Nord', 'Sued']",,2022-09-20 08:01:27
968,bicycle,"['Nord', 'Sued']",,2022-09-20 08:01:27
970,bicycle,,,2022-09-20 08:01:28
971,bicycle,,,2022-09-20 08:01:28
974,bicycle,,,2022-09-20 08:01:30
976,bicycle,,,2022-09-20 08:01:30
980,person,,,2022-09-20 08:01:39
981,unclear,,,2022-09-20 08:01:40
982,bicycle,"['Nord', 'Sued']",,2022-09-20 08:01:42
983,person,['Nord'],,2022-09-20 08:01:42
987,bicycle,,,2022-09-20 08:01:43
988,person,,,2022-09-20 08:01:43
989,bicycle,,,2022-09-20 08:01:43
990,person,,,2022-09-20 08:01:44
991,person,['Sued'],,2022-09-20 08:01:45
992,bicycle,['Sued'],,2022-09-20 08:01:45
993,bicycle,,,2022-09-20 08:01:46
995,bicycle,,,2022-09-20 08:01:47
996,bicycle,"['Nord', 'Sued']",,2022-09-20 08:01:49
997,person,['Nord'],,2022-09-20 08:01:49
998,person,,,2022-09-20 08:01:50
1006,person,['Nord'],,2022-09-20 08:01:51
1009,person,['Nord'],,2022-09-20 08:01:51
1010,unclear,,,2022-09-20 08:01:51
1011,bicycle,,,2022-09-20 08:01:53
1012,car,,,2022-09-20 08:01:56
1013,person,,,2022-09-20 08:01:56
1014,person,,,2022-09-20 08:01:58
1015,unclear,,,2022-09-20 08:01:58
