EventID,TrackID,SectionID,Class,Frame,X,Y,DateTime
341,10167,Nord,car,191,235,168,2022-09-20 08:30:09
342,10167,Sued,car,206,340,111,2022-09-20 08:30:10
343,10175,Nord,bicycle,418,254,166,2022-09-20 08:30:20
344,10176,Nord,person,423,264,166,2022-09-20 08:30:21
345,10176,Sued,person,502,376,111,2022-09-20 08:30:25
346,10203,Nord,person,1577,478,174,2022-09-20 08:31:18
347,10203,Sued,person,1031,491,114,2022-09-20 08:30:51
348,10250,Nord,bicycle,1896,289,169,2022-09-20 08:31:34
349,10250,Sued,bicycle,1947,381,111,2022-09-20 08:31:37
350,10251,Nord,person,1901,304,169,2022-09-20 08:31:35
351,10251,Sued,person,1956,391,111,2022-09-20 08:31:37
352,10256,Nord,bicycle,1969,299,168,2022-09-20 08:31:38
353,10256,Sued,bicycle,2010,377,108,2022-09-20 08:31:40
354,10257,Nord,bicycle,1917,291,168,2022-09-20 08:31:35
355,10257,Sued,bicycle,1960,372,110,2022-09-20 08:31:38
356,10258,Nord,person,1924,303,170,2022-09-20 08:31:36
357,10258,Sued,person,1977,381,109,2022-09-20 08:31:38
358,10260,Nord,person,1978,305,168,2022-09-20 08:31:38
359,10260,Sued,person,2070,374,109,2022-09-20 08:31:43
360,10262,Nord,person,1911,235,177,2022-09-20 08:31:35
361,10276,Nord,person,2031,315,170,2022-09-20 08:31:41
362,10276,Sued,person,2101,396,111,2022-09-20 08:31:45
363,10277,Nord,bicycle,2027,303,168,2022-09-20 08:31:41
364,10277,Sued,bicycle,2079,382,110,2022-09-20 08:31:43
365,10287,Sued,bicycle,1946,354,110,2022-09-20 08:31:37
366,10295,Nord,bicycle,2003,247,167,2022-09-20 08:31:40
367,10295,Sued,bicycle,2026,320,112,2022-09-20 08:31:41
368,10297,Nord,person,2006,268,168,2022-09-20 08:31:40
369,10300,Nord,person,2009,216,163,2022-09-20 08:31:40
370,10328,Nord,person,2032,320,178,2022-09-20 08:31:41
371,10329,Sued,bicycle,2035,343,113,2022-09-20 08:31:41
372,10336,Nord,bicycle,2152,307,168,2022-09-20 08:31:47
373,10336,Sued,bicycle,2204,383,111,2022-09-20 08:31:50
374,10337,Nord,person,2157,316,172,2022-09-20 08:31:47
375,10337,Sued,person,2214,396,110,2022-09-20 08:31:50
376,10359,Nord,person,2584,292,168,2022-09-20 08:32:09
377,10365,Nord,bicycle,2571,282,166,2022-09-20 08:32:08
378,10365,Sued,bicycle,2637,381,110,2022-09-20 08:32:11
379,10405,Nord,person,3618,283,168,2022-09-20 08:33:00
380,10405,Sued,person,3694,380,111,2022-09-20 08:33:04
381,10408,Nord,bicycle,3609,263,167,2022-09-20 08:33:00
382,10410,Nord,person,3715,223,166,2022-09-20 08:33:05
383,10410,Sued,person,3787,339,112,2022-09-20 08:33:09
384,10413,Nord,bicycle,3709,208,167,2022-09-20 08:33:05
385,10427,Nord,person,3946,323,172,2022-09-20 08:33:17
386,10427,Sued,person,4020,401,110,2022-09-20 08:33:21
387,10432,Nord,bicycle,3936,311,168,2022-09-20 08:33:16
388,10432,Sued,bicycle,4005,392,111,2022-09-20 08:33:20
389,10439,Nord,person,3843,323,168,2022-09-20 08:33:12
390,10439,Sued,person,3891,401,111,2022-09-20 08:33:14
391,10440,Nord,bicycle,3841,309,169,2022-09-20 08:33:12
392,10445,Nord,person,3859,318,171,2022-09-20 08:33:12
393,10445,Sued,person,3898,390,111,2022-09-20 08:33:14
394,10446,Nord,person,3895,284,168,2022-09-20 08:33:14
395,10446,Sued,person,3938,389,111,2022-09-20 08:33:16
396,10450,Nord,bicycle,3850,294,168,2022-09-20 08:33:12
397,10450,Sued,bicycle,3935,381,111,2022-09-20 08:33:16
398,10457,Nord,bicycle,3894,280,168,2022-09-20 08:33:14
399,10458,Nord,person,3907,268,172,2022-09-20 08:33:15
400,10458,Sued,person,3947,363,112,2022-09-20 08:33:17
401,10460,Sued,bicycle,3893,382,111,2022-09-20 08:33:14
402,10474,Sued,bicycle,3940,351,110,2022-09-20 08:33:17
403,10481,Nord,bicycle,4040,303,170,2022-09-20 08:33:22
404,10482,Nord,bicycle,4068,290,169,2022-09-20 08:33:23
405,10482,Sued,bicycle,4094,338,110,2022-09-20 08:33:24
406,10483,Nord,person,4047,321,166,2022-09-20 08:33:22
407,10483,Sued,person,4117,399,112,2022-09-20 08:33:25
408,10484,Nord,person,4080,305,169,2022-09-20 08:33:24
409,10495,Nord,bicycle,4067,243,166,2022-09-20 08:33:23
410,10504,Nord,person,4073,262,167,2022-09-20 08:33:23
411,10511,Sued,bicycle,4099,387,113,2022-09-20 08:33:24
412,10513,Sued,person,4116,372,111,2022-09-20 08:33:25
413,10519,Nord,person,5788,439,173,2022-09-20 08:34:49
414,10519,Sued,person,5932,482,113,2022-09-20 08:34:56
415,10523,Nord,person,5824,279,169,2022-09-20 08:34:51
416,10523,Sued,person,5909,400,112,2022-09-20 08:34:55
417,10548,Nord,bicycle,5820,274,168,2022-09-20 08:34:51
418,10555,Nord,bicycle,6074,314,169,2022-09-20 08:35:03
419,10555,Sued,bicycle,6092,362,112,2022-09-20 08:35:04
420,10558,Nord,person,6078,320,171,2022-09-20 08:35:03
421,10568,Sued,bicycle,6182,364,111,2022-09-20 08:35:09
422,10569,Sued,person,6205,411,112,2022-09-20 08:35:10
423,10573,Nord,bicycle,6189,295,167,2022-09-20 08:35:09
424,10575,Nord,person,6197,314,169,2022-09-20 08:35:09
425,10575,Sued,person,6249,402,110,2022-09-20 08:35:12
426,10583,Nord,bicycle,6203,310,167,2022-09-20 08:35:10
427,10585,Nord,person,6206,328,170,2022-09-20 08:35:10
428,10589,Nord,unclear,6177,215,169,2022-09-20 08:35:08
429,10599,Nord,person,6194,311,170,2022-09-20 08:35:09
430,10605,Nord,bicycle,6264,269,167,2022-09-20 08:35:13
431,10605,Sued,bicycle,6303,373,111,2022-09-20 08:35:15
432,10608,Nord,bicycle,6275,313,169,2022-09-20 08:35:13
433,10696,Nord,person,7577,454,174,2022-09-20 08:36:18
434,10696,Sued,person,7700,469,113,2022-09-20 08:36:25
435,10705,Nord,bicycle,7539,313,169,2022-09-20 08:36:16
436,10705,Sued,bicycle,7578,366,111,2022-09-20 08:36:18
437,10710,Nord,person,7550,329,170,2022-09-20 08:36:17
438,10737,Sued,bicycle,7592,383,110,2022-09-20 08:36:19
439,10739,Nord,person,7768,465,173,2022-09-20 08:36:28
440,10739,Sued,person,7909,492,114,2022-09-20 08:36:35
441,10772,Nord,person,8231,462,174,2022-09-20 08:36:51
442,10772,Sued,person,8366,463,113,2022-09-20 08:36:58
443,10778,Nord,unclear,8086,299,168,2022-09-20 08:36:44
444,10784,Nord,unclear,8097,456,168,2022-09-20 08:36:44
445,10786,Nord,bicycle,8325,305,168,2022-09-20 08:36:56
446,10787,Nord,person,8338,322,168,2022-09-20 08:36:56
447,10787,Sued,person,8403,398,111,2022-09-20 08:37:00
448,10808,Nord,person,8718,331,170,2022-09-20 08:37:15
449,10808,Sued,person,9283,417,112,2022-09-20 08:37:44
450,10810,Nord,person,8726,325,166,2022-09-20 08:37:16
451,10819,Nord,person,8724,321,173,2022-09-20 08:37:16
452,10822,Sued,bicycle,8762,385,113,2022-09-20 08:37:18
453,10826,Nord,bicycle,8809,292,169,2022-09-20 08:37:20
454,10826,Sued,bicycle,8851,377,113,2022-09-20 08:37:22
455,10828,Nord,person,8811,306,169,2022-09-20 08:37:20
456,10828,Sued,person,8878,401,112,2022-09-20 08:37:23
457,10831,Nord,bicycle,8832,306,169,2022-09-20 08:37:21
458,10831,Sued,bicycle,8878,376,111,2022-09-20 08:37:23
459,10834,Nord,person,8838,323,168,2022-09-20 08:37:21
460,10834,Sued,person,8887,393,110,2022-09-20 08:37:24
461,10836,Nord,bicycle,8828,248,166,2022-09-20 08:37:21
462,10842,Nord,person,8834,246,167,2022-09-20 08:37:21
463,10842,Sued,person,8876,362,111,2022-09-20 08:37:23
464,10855,Nord,person,9205,473,174,2022-09-20 08:37:40
465,10855,Sued,person,9046,488,113,2022-09-20 08:37:32
466,10859,Nord,bicycle,8894,315,168,2022-09-20 08:37:24
467,10861,Nord,person,8901,328,172,2022-09-20 08:37:25
468,10861,Sued,person,8947,399,112,2022-09-20 08:37:27
469,10869,Sued,bicycle,8916,354,118,2022-09-20 08:37:25
470,10875,Nord,bicycle,8958,275,168,2022-09-20 08:37:27
