EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
2,Haltelinie,2,281,290,148,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:07
3,Querschnitt_Straße,2,659,428,180,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:09
4,Haltelinie,3,352,265,311,Motorisierte Zweiräder,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:15
5,Querschnitt_Straße,3,697,397,321,Motorisierte Zweiräder,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:16
6,Haltelinie,4,375,257,536,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:26
7,Querschnitt_Straße,4,740,364,909,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:45
8,Haltelinie,5,273,293,868,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:43
9,Querschnitt_Straße,5,615,449,908,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:45
10,Haltelinie,6,269,292,921,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:46
11,Querschnitt_Straße,6,618,449,956,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:47
12,Haltelinie,7,382,255,933,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:46
13,Querschnitt_Straße,7,735,369,966,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:48
14,Haltelinie,8,270,293,980,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:49
15,Querschnitt_Straße,8,604,459,1008,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:50
16,Haltelinie,9,376,258,987,Lieferwagen ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:49
17,Querschnitt_Straße,9,736,368,1015,Lieferwagen ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:50
18,Haltelinie,10,265,295,1019,Lieferwagen ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:45:50
