EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
1,Nord,1,304,169,87,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:04
2,Sued,1,388,111,143,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:07
3,Nord,2,308,168,486,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:24
4,Sued,2,377,111,731,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:36
5,Nord,3,304,170,1109,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:55
6,Sued,3,379,113,1148,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:57
7,Nord,4,299,171,1133,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:56
8,Sued,4,385,112,1173,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:58
9,Nord,5,233,166,1178,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:15:58
10,Sued,5,383,110,1227,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:01
11,Nord,6,301,168,1749,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:27
12,Sued,6,391,107,1785,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:29
13,Nord,7,293,168,1875,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:33
14,Sued,7,386,111,1923,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:36
15,Nord,8,298,171,1959,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:37
16,Sued,8,384,112,2007,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:40
17,Nord,9,316,170,1974,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:38
18,Sued,9,392,111,2028,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:41
19,Nord,10,233,169,1956,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:37
20,Sued,10,352,111,2004,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:40
21,Nord,11,288,166,2043,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:42
22,Sued,11,363,113,2070,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:16:43
23,Nord,12,439,173,2502,Person,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:17:05
24,Sued,12,478,112,2634,Person,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:17:11
25,Nord,13,265,169,3363,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:17:48
26,Sued,13,381,113,3427,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:17:51
27,Nord,14,465,177,4387,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:18:39
28,Sued,14,449,112,4447,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:18:42
29,Nord,15,451,174,4497,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:18:44
30,Sued,15,478,115,4567,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:18:48
31,Nord,16,319,168,4495,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:18:44
32,Sued,16,386,115,4537,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:18:46
33,Nord,17,311,168,4958,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:19:07
34,Sued,17,392,111,5014,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:19:10
35,Nord,18,256,168,5077,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:19:13
36,Sued,18,384,111,5142,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:19:17
37,Nord,19,235,164,5130,Bicycle,TUDCam01_FR20_2022-09-20_08-15-00.mp4,2022-09-20 08:19:16
