EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
1,Haltelinie,1,272,284,87,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:04
2,Querschnitt_Straße,1,644,434,130,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:06
3,Haltelinie,2,271,292,173,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:08
4,Querschnitt_Straße,2,632,445,206,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:10
5,FG2,3,283,464,386,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:19
6,FG1,3,600,240,610,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:30
7,Querschnitt_Straße,5,737,369,554,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:27
8,FG1,5,760,306,632,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:31
9,Querschnitt_Straße,4,590,471,493,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:24
10,FG1,4,754,303,683,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:34
11,FG2,7,371,554,482,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:24
12,FG1,7,762,307,1040,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:52
13,FG2,6,293,479,602,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:30
14,FG1,6,703,279,825,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:41
15,FG2,8,209,391,470,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:23
16,FG1,8,731,290,708,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:35
17,FG2,9,226,410,476,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:23
18,FG1,9,765,306,736,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:36
19,FG1,11,793,319,612,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:30
20,Querschnitt_Straße,11,788,335,638,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:31
21,FG1,10,783,313,612,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:30
22,Querschnitt_Straße,10,773,346,659,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:32
23,FG1,12,625,248,625,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:31
24,FG2,12,234,421,805,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:40
25,FG1,13,546,217,639,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:31
26,Haltelinie,13,512,211,661,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:33
27,Haltelinie,14,371,258,819,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:40
28,Querschnitt_Straße,14,731,380,873,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:43
29,Haltelinie,15,287,286,839,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:41
30,Querschnitt_Straße,15,650,434,890,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:44
31,Haltelinie,16,192,319,870,Fahrrad mit Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:43
32,Querschnitt_Straße,16,471,552,911,Fahrrad mit Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-30-00.mp4,2022-10-17 18:30:45
